lncRNA_module	lncRNA_module_M	lncRNA_pc_module	lnc_gene_in_lncPc_module
brown	M2	blue	AC078883.3
brown	M2	blue	AC104699.1
brown	M2	blue	AL022341.3
brown	M2	blue	LINC01207
brown	M2	blue	LINC01485
brown	M2	blue	RP11-1070N10.3
brown	M2	blue	RP11-326I11.5
brown	M2	blue	RP11-629O1.2
brown	M2	brown	A1BG-AS1
brown	M2	brown	AC005682.5
brown	M2	brown	AC006129.1
brown	M2	brown	AC006129.2
brown	M2	brown	AC007386.4
brown	M2	brown	AC007952.5
brown	M2	brown	AC009950.2
brown	M2	brown	AC010226.4
brown	M2	brown	AC010883.5
brown	M2	brown	AC016747.3
brown	M2	brown	AC017002.1
brown	M2	brown	AC017116.11
brown	M2	brown	AC022182.3
brown	M2	brown	AC023590.1
brown	M2	brown	AC025171.1
brown	M2	brown	AC026202.3
brown	M2	brown	AC074289.1
brown	M2	brown	AC079767.4
brown	M2	brown	AC083949.1
brown	M2	brown	AC091132.1
brown	M2	brown	AC096579.13
brown	M2	brown	AC104653.1
brown	M2	brown	AC104809.4
brown	M2	brown	AC104820.2
brown	M2	brown	AC109333.10
brown	M2	brown	AC147651.4
brown	M2	brown	AF127936.5
brown	M2	brown	AL122127.25
brown	M2	brown	AP001055.6
brown	M2	brown	AP001056.1
brown	M2	brown	AP001058.3
brown	M2	brown	AP001059.6
brown	M2	brown	AP001059.7
brown	M2	brown	BHLHE40-AS1
brown	M2	brown	BISPR
brown	M2	brown	BZRAP1-AS1
brown	M2	brown	C1orf220
brown	M2	brown	C22orf34
brown	M2	brown	C9orf139
brown	M2	brown	CARD8-AS1
brown	M2	brown	CHRM3-AS2
brown	M2	brown	CTB-41I6.1
brown	M2	brown	CTB-41I6.2
brown	M2	brown	CTC-301O7.4
brown	M2	brown	CTC-523E23.11
brown	M2	brown	CTD-2020K17.1
brown	M2	brown	CTD-2054N24.2
brown	M2	brown	CTD-2232E5.2
brown	M2	brown	CTD-2341M24.1
