Train cohort	Test cohort	Train or Test	Type	Genes	AUC	accuracy	Youden_point
PROTECT	RISK	Test	lncRNA	ProtectGenes	0.891331923890063	0.86734693877551	0.27
PROTECT	RISK	Train	lncRNA	ProtectGenes	1	1	0.27
PROTECT	RISK	Test	ProteinCoding	ProtectGenes	0.946723044397463	0.928571428571429	0.32
PROTECT	RISK	Train	ProteinCoding	ProtectGenes	1	1	0.39
SEEM	Celiac_Leonard	Test	lncRNA	SEEMGenes	0.95	0.925925925925926	0.25
SEEM	Celiac_Leonard	Train	lncRNA	SEEMGenes	0.858131487889273	0.852941176470588	0.26
SEEM	Celiac_Leonard	Test	ProteinCoding	SEEMGenes	0.944444444444445	0.925925925925926	0.42
SEEM	Celiac_Leonard	Train	ProteinCoding	SEEMGenes	0.8719723183391	0.794117647058823	0.22
SOURCE	RISK	Test	lncRNA	SOURCEGenes	0.861502347417841	0.723076923076923	0.64
SOURCE	RISK	Train	lncRNA	SOURCEGenes	0.96875	0.9375	0.33
SOURCE	RISK	Test	ProteinCoding	SOURCEGenes	0.877684546998302	0.753846153846154	0.62
SOURCE	RISK	Train	ProteinCoding	SOURCEGenes	0.921875	0.9375	0.36
