Train cohort	Test cohort	Train or Test	Type	Genes	AUC	accuracy	Youden_point
PROTECT	RISK	Test	lncRNA	ProtectGenes	0.834249471458774	0.744897959183674	0.16
PROTECT	RISK	Train	lncRNA	ProtectGenes	1	0.995575221238938	0.3
PROTECT	RISK	Test	ProteinCoding	ProtectGenes	0.954122621564482	0.908163265306122	0.14
PROTECT	RISK	Train	ProteinCoding	ProtectGenes	0.999271844660194	0.991150442477876	0.23
SEEM	Celiac_Leonard	Test	lncRNA	SEEMGenes	0.933333333333333	0.925925925925926	0.26
SEEM	Celiac_Leonard	Train	lncRNA	SEEMGenes	0.854117647058824	0.80952380952381	0.3
SEEM	Celiac_Leonard	Test	ProteinCoding	SEEMGenes	0.916666666666667	0.888888888888889	0.46
SEEM	Celiac_Leonard	Train	ProteinCoding	SEEMGenes	0.868235294117647	0.80952380952381	0.3
SOURCE	RISK	Test	lncRNA	SOURCEGenes	0.882279492558186	0.753846153846154	0.54
SOURCE	RISK	Train	lncRNA	SOURCEGenes	0.927083333333333	0.95	0.47
SOURCE	RISK	Test	ProteinCoding	SOURCEGenes	0.914743781839976	0.830769230769231	0.44
SOURCE	RISK	Train	ProteinCoding	SOURCEGenes	0.9375	0.95	0.41
